route_id,stops,num_stops,total_pallets,total_duration_sec,cost,over_policy_35h,overtime_4h,total_duration_hms
Thu_00142,New World Eastridge,1,9,13875.46,847.94,True,False,03:51:15.460000
Thu_00143,New World Mt Albert,1,9,11173.78,682.84,False,False,03:06:13.780000
Thu_00144,New World Victoria Park,1,9,12511.39,764.58,False,False,03:28:31.390000
Thu_00145,Pak 'n Save Botany,1,9,14657.42,1190.0,True,True,04:04:17.420000
Thu_00146,Pak 'n Save Manukau,1,9,13076.7,799.13,True,False,03:37:56.700000
Thu_00147,Pak 'n Save Glen Innes,1,10,15643.24,1190.0,True,True,04:20:43.240000
Thu_00148,Pak 'n Save Henderson,1,10,14151.09,864.79,True,False,03:55:51.090000
Thu_00149,Pak 'n Save Highland Park,1,10,15558.37,1190.0,True,True,04:19:18.370000
Thu_00150,Pak 'n Save Mangere,1,10,13119.57,801.75,True,False,03:38:39.570000
Thu_00151,Pak 'n Save Mt Albert,1,10,12099.27,739.4,False,False,03:21:39.270000
Thu_00152,Pak 'n Save Ormiston,1,10,15217.23,1190.0,True,True,04:13:37.230000
Thu_00153,Pak 'n Save Royal Oak,1,10,12413.54,758.61,False,False,03:26:53.540000
Thu_00154,Pak 'n Save Clendon,1,11,15687.34,1190.0,True,True,04:21:27.340000
Thu_00155,Pak 'n Save Papakura,1,11,16551.63,1190.0,True,True,04:35:51.630000
Thu_00156,Pak 'n Save Sylvia Park,1,11,15809.55,1190.0,True,True,04:23:29.550000
Thu_00157,Pak 'n Save Wairau Road,1,11,16160.95,1190.0,True,True,04:29:20.950000
Thu_00158,Pak 'n Save Albany,1,12,18219.99,1500.0,True,True,05:03:39.990000
Thu_00159,Pak 'n Save Lincoln Road,1,13,16881.89,1190.0,True,True,04:41:21.890000
Thu_00160,Pak 'n Save Westgate,1,13,17279.0,1190.0,True,True,04:47:59
